CASE,REF,DV01_01,DV01_02,DV01_03,DV01_04,DV01_05,DV01_06,DV01_07,DV01_08,DV01_09,DV01_10,DV01_11,DV01_12,DV01_13,DV01_14,DV02_01,DV02_02,DV02_03,DV02_04,DV02_05,DV02_06,DV03_01,DV04_01,DV04_02,DV04_03,DV04_04,DV04_05,DV04_06,DV04_07,DV04_08,DV04_09,DV04_10,DV04_11,DV04_12,MV01_01,MV01_02,MV01_03,MV01_04,MV01_05,MV01_06,MV01_07,MV01_08,MV01_09,MV01_10,MV01_11,MV01_12,MV01_13,MV01_14,occupational_status,academic_discipline,IV01_CP,condition,CV01_01,CV01_02,CV01_03,CV01_04,CV01_05,CV01_06,CV01_07,CV01_08,CV01_09,CV01_10,CV02_01,CV02_02,CV02_03,CV02_04,CV02_05,PES_exp,CV03_01,CV03_02,CV03_03,CV03_04,CV03_05,CV03_06,CV03_07,CV03_08,CV03_09,CV03_10,CV03_11,CV03_12,CV03_13,CV03_14,CV03_15,CV04,CV04_01,CV04_02,CV04_03,CV04_04,CV05,veganism,TIME001,TIME002,TIME003,TIME004,TIME005,TIME006,TIME007,TIME008,TIME009,TIME010,TIME011,TIME012,TIME013,TIME014,TIME015,TIME,longstring,expertise,integritybenevolence,METI,credibility,eval,att,neutr,PES_freq
59,fb,5,5,5,5,4,4,5,4,4,4,4,4,4,5,5,5,5,4,4,5,5,3,3,3,4,3,3,3,2,3,4,3,2,6,6,4,5,6,6,4,6,6,5,5,5,5,5,university student,social_sciences,9,not affected,4,4,4,4,4,4,5,4,5,4,3,2,2,4,4,5,1,2,1,1,2,2,1,1,1,2,1,1,1,1,2,2,2,2,1,1,2,not vegan,1935,42,41,66,62,18,48,230,150,84,16,76,35,161,38,826,6,4.666666666666667,4.25,4.428571428571429,4.714285714285714,3,5.285714285714286,4,3
67,NA,2,2,2,2,2,2,2,3,3,3,4,5,5,4,1,1,2,1,3,2,3,3,5,6,6,3,5,5,6,6,4,4,5,1,1,1,4,2,1,2,3,2,1,2,1,1,1,university student,life_sciences,10,affected,5,6,4,5,3,5,6,4,5,5,2,4,5,4,3,6,1,2,1,2,1,1,1,2,2,1,2,1,2,1,1,2,2,2,1,1,1,not vegan,10,8,3,42,45,22,47,53,96,93,16,66,25,141,22,508,7,2,3.625,2.9285714285714284,1.8571428571428572,4.833333333333333,1.6428571428571428,5,3.6
109,fbg,5,5,5,5,5,5,5,5,4,5,4,5,5,5,4,2,4,3,4,3,4,3,4,5,3,3,3,5,3,4,4,2,1,3,3,1,4,5,1,5,2,5,1,2,2,2,6,university student,life_sciences,13,affected,5,5,5,5,3,5,6,3,5,5,4,4,3,4,4,12,2,2,2,2,2,2,2,2,1,2,2,2,1,1,2,2,2,2,1,1,1,not vegan,21,18,29,66,20,NA,35,48,78,74,13,181,25,108,33,569,8,5,4.75,4.857142857142857,3.4285714285714284,3.3333333333333335,3,5,3.8
110,fbg,5,5,5,5,5,5,5,5,4,5,4,4,5,4,6,3,5,3,5,4,5,2,3,3,2,4,3,4,3,4,3,3,2,4,4,4,4,3,3,4,6,5,3,4,1,4,6,university student,social_sciences,14,affected,4,4,3,4,4,5,5,5,4,6,3,3,3,3,3,5,1,2,1,1,1,2,1,2,1,1,1,2,1,1,2,2,2,2,1,1,1,not vegan,29,297,13,51,31,NA,29,34,50,134,7,9,13,120,13,371,8,5,4.5,4.714285714285714,4.428571428571429,3,3.9285714285714284,3.75,3
113,fbg,4,5,6,5,5,6,4,4,4,4,6,5,5,5,3,3,4,2,4,4,3,2,4,4,5,3,4,3,4,3,2,5,5,4,5,6,6,6,4,6,6,5,5,6,3,4,4,working_with_degree,social_sciences,15,affected,3,2,2,2,4,5,5,4,5,4,4,2,3,4,2,9,1,2,2,2,2,2,1,2,1,1,2,2,1,1,2,2,2,2,1,1,1,not vegan,33,7,25,49,41,15,74,101,110,99,19,124,21,147,7,678,5,5.166666666666667,4.625,4.857142857142857,3.2857142857142856,3.6666666666666665,5,2.25,3
114,fbg,5,4,5,5,5,4,5,5,5,5,5,5,5,5,3,3,3,2,3,5,4,5,4,5,5,5,4,2,5,3,4,5,5,6,6,6,6,6,6,6,1,4,6,6,6,6,6,university student,natural_sciences,15,not affected,6,3,5,5,2,6,6,4,5,5,2,2,2,3,3,8,1,2,1,2,2,2,1,2,1,1,2,2,1,1,2,2,2,2,1,1,2,vegan,25,6,12,65,30,NA,25,37,42,49,13,78,13,94,38,364,8,4.666666666666667,5,4.857142857142857,3.2857142857142856,4.333333333333333,5.5,4.75,2.4
122,fbg,4,4,3,4,2,3,5,4,3,4,4,6,5,5,4,4,4,2,4,4,4,4,4,5,3,6,4,3,3,4,4,4,3,6,6,6,6,6,3,4,6,6,6,6,4,6,6,university student,humanities,17,affected,4,3,4,4,3,5,5,3,5,4,5,5,4,5,5,12,2,2,2,2,2,2,2,1,1,2,2,2,2,1,2,2,2,2,1,1,1,not vegan,29,10,11,65,22,NA,34,47,51,46,13,5,16,90,4,310,7,3.3333333333333335,4.5,4,3.7142857142857144,3.9166666666666665,5.5,3.75,4.8
124,fbg,5,5,5,4,4,4,5,4,4,3,5,5,5,3,4,4,4,4,5,4,3,4,3,5,4,4,4,3,4,3,1,4,2,6,4,5,5,5,3,5,5,5,4,4,4,3,3,working_with_degree,natural_sciences,18,affected,3,2,2,2,3,5,5,4,4,4,4,2,3,3,3,5,1,2,1,1,2,1,1,1,1,1,2,2,1,1,2,2,2,2,1,1,1,not vegan,4,5,12,101,22,14,31,63,51,49,35,52,13,90,15,443,5,4.5,4.25,4.357142857142857,4,3.4166666666666665,4.357142857142857,2.25,3
128,fbg,2,3,2,2,2,2,6,6,4,3,3,6,3,5,2,2,2,2,2,2,2,4,5,2,4,3,4,3,3,4,3,1,3,5,3,3,4,3,3,4,6,4,4,5,2,3,6,working_with_degree,humanities,20,not affected,5,4,3,5,2,5,6,3,5,4,4,1,2,3,4,9,2,2,2,2,1,2,1,2,1,2,2,1,2,1,1,2,2,2,1,1,2,not vegan,15,8,21,103,35,16,162,29,263,50,8,33,27,115,14,747,7,2.1666666666666665,4.5,3.5,2,3.25,3.9285714285714284,4.25,2.8
130,fbg,6,6,6,6,4,6,5,6,5,5,5,4,5,5,5,5,5,5,3,4,5,1,3,2,2,3,2,2,2,4,1,2,3,6,4,6,5,5,3,6,5,4,5,5,5,3,5,university student,social_sciences,21,affected,5,5,5,4,3,6,5,3,6,5,3,4,3,3,4,7,1,2,1,1,2,2,1,2,1,2,2,1,1,1,2,2,2,2,1,1,1,not vegan,34,7,44,66,46,5,34,47,64,58,11,35,11,95,19,421,6,5.666666666666667,5,5.285714285714286,4.571428571428571,2.25,4.785714285714286,4.75,3.4
146,fbg,4,5,4,4,4,4,4,4,4,5,4,4,4,5,5,4,5,3,4,5,5,2,3,4,4,4,3,4,6,3,3,3,2,4,3,2,5,5,3,2,3,4,4,4,1,3,3,not_working_with_degree,engineering_sciences,24,affected,4,3,4,4,4,5,6,4,5,6,4,3,4,4,3,9,1,1,2,1,2,2,1,1,2,2,2,2,2,1,2,2,2,2,1,1,1,not vegan,11,9,5,42,18,NA,86,74,66,73,14,71,26,119,12,475,7,4.166666666666667,4.25,4.214285714285714,4.428571428571429,3.4166666666666665,3.2857142857142856,3.75,3.6
161,fbg,6,5,5,6,5,5,6,6,5,5,5,6,5,5,5,5,5,4,4,5,5,3,2,4,1,2,2,3,2,3,1,3,3,4,6,6,6,6,6,6,6,5,6,6,4,6,6,university student,social_sciences,26,not affected,6,5,4,5,5,5,6,4,4,5,4,3,3,4,3,6,1,2,2,1,2,2,1,1,1,1,1,1,2,1,2,2,2,2,1,1,2,not vegan,46,5,35,55,30,NA,51,55,100,68,13,24,16,135,35,447,7,5.333333333333333,5.375,5.357142857142857,4.714285714285714,2.4166666666666665,5.642857142857143,5,3.4
174,fbg,4,5,5,4,5,4,5,5,4,4,4,4,4,4,5,5,5,4,4,5,5,4,3,4,2,4,3,4,3,3,4,3,3,6,6,6,6,6,5,6,6,6,6,6,6,6,6,university student,natural_sciences,28,not affected,4,5,4,5,4,5,6,3,5,5,3,2,3,3,4,10,2,2,2,2,2,2,1,1,1,2,2,2,1,1,2,2,2,2,1,1,2,vegan,4,5,18,53,26,NA,48,51,54,44,7,19,21,127,20,341,8,4.5,4.25,4.357142857142857,4.714285714285714,3.3333333333333335,5.928571428571429,4.5,3
175,fbg,2,2,1,1,1,2,5,4,4,2,3,3,5,5,2,1,2,1,2,1,2,6,2,5,4,4,5,3,5,4,1,4,5,6,6,6,6,5,6,5,6,5,6,5,4,6,6,working_with_degree,social_sciences,28,affected,4,4,3,4,3,5,5,3,5,5,5,3,1,5,5,12,1,2,2,2,2,2,1,2,2,2,2,2,2,1,2,2,2,2,1,1,1,not vegan,10,12,23,114,21,NA,62,43,73,61,8,133,13,125,29,551,6,1.5,3.875,2.857142857142857,1.5714285714285714,4,5.571428571428571,3.75,3.8
177,fbg,6,6,5,6,5,6,6,6,4,4,6,6,6,5,5,4,6,1,5,4,5,2,2,3,2,4,2,3,2,3,2,3,3,6,6,5,5,5,4,3,5,5,6,6,4,5,5,university student,natural_sciences,29,affected,6,6,5,6,3,6,6,4,5,5,4,4,3,5,5,10,2,2,2,2,1,2,1,2,1,2,2,2,1,1,2,2,2,2,1,1,1,not vegan,17,20,44,88,25,NA,48,58,104,72,11,157,18,123,15,625,4,5.666666666666667,5.375,5.5,4.285714285714286,2.5833333333333335,5,5.75,4.2
179,fbg,5,5,5,6,5,6,5,6,6,5,5,5,6,6,4,4,4,1,4,5,5,2,3,4,2,2,3,4,2,3,3,2,3,5,4,3,4,2,2,5,5,3,3,2,3,4,5,working_with_degree,social_sciences,30,affected,5,5,5,5,5,6,5,4,6,5,4,4,4,4,3,10,1,2,2,2,2,2,1,1,2,2,2,2,1,1,2,2,2,2,1,1,1,not vegan,21,9,6,43,31,20,50,56,61,82,12,139,13,120,9,513,5,5.333333333333333,5.5,5.428571428571429,3.857142857142857,2.75,3.5714285714285716,5,3.8
181,NA,1,2,1,1,1,1,2,2,3,2,2,2,2,3,1,1,1,1,6,1,1,6,5,5,5,5,5,1,1,2,1,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,working_with_degree,social_sciences,30,not affected,2,1,2,2,3,2,2,3,2,3,4,1,1,4,4,11,1,1,2,2,2,2,1,2,2,2,2,1,2,2,2,2,2,2,1,1,2,vegan,43,6,14,61,31,NA,59,57,147,36,11,84,12,87,23,512,14,1.1666666666666667,2.25,1.7857142857142858,1.7142857142857142,3.8333333333333335,6,1.75,2.8
182,fbg,4,4,4,2,4,3,5,4,4,5,4,4,5,5,5,2,3,1,5,2,4,1,1,2,3,5,2,3,5,2,4,1,6,5,5,2,5,6,6,3,4,6,6,5,5,5,6,working_with_degree,natural_sciences,31,affected,5,5,5,5,3,6,6,4,6,5,5,1,4,5,5,9,1,2,1,1,2,2,1,2,1,2,2,2,1,2,2,2,2,2,1,1,1,not vegan,29,5,25,38,33,NA,65,51,94,65,8,156,19,113,16,554,5,3.5,4.5,4.071428571428571,3.142857142857143,2.9166666666666665,4.928571428571429,5,4
186,fbg,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,2,6,5,6,6,3,1,2,4,4,1,2,2,1,1,1,1,1,6,6,6,6,6,4,6,6,6,6,5,5,6,6,university student,social_sciences,32,affected,2,2,2,2,6,6,6,2,6,6,3,2,1,3,3,6,1,2,1,1,1,2,1,1,1,2,2,1,2,1,2,2,2,2,1,1,1,not vegan,19,15,4,80,35,NA,50,56,75,62,14,98,14,127,21,488,14,6,6,6,4.714285714285714,1.75,5.714285714285714,2,2.4
189,fbg,5,5,6,6,6,6,5,5,4,5,4,5,5,6,5,5,5,3,4,3,5,1,4,4,3,4,3,4,2,5,5,1,2,6,6,6,6,5,4,5,6,5,6,6,5,6,6,working_with_degree,social_sciences,33,not affected,2,4,5,3,4,4,5,4,5,5,5,2,5,5,5,12,2,2,2,2,2,2,1,2,1,2,2,1,2,2,2,2,2,2,1,1,2,not vegan,29,66,35,56,35,NA,51,62,63,76,21,128,18,141,5,545,6,5.666666666666667,4.875,5.214285714285714,4.285714285714286,3.1666666666666665,5.571428571428571,3.5,4.4
190,NA,3,3,3,3,4,4,5,5,4,4,4,5,4,4,3,3,4,4,4,4,3,3,4,4,4,5,4,4,2,5,1,3,3,6,6,6,6,6,3,6,6,6,6,5,4,5,5,working_with_degree,social_sciences,33,affected,3,3,3,4,3,3,4,4,4,4,2,2,2,5,4,9,1,2,2,2,2,2,1,1,1,2,2,1,2,1,2,2,2,2,1,1,1,not vegan,13,9,20,48,34,NA,38,25,54,47,9,99,16,205,10,390,5,3.3333333333333335,4.375,3.9285714285714284,3.5714285714285716,3.5,5.428571428571429,3.25,3
192,fbg,4,4,5,5,5,5,5,5,4,5,4,4,4,4,5,3,5,5,4,4,5,1,3,2,1,4,3,3,2,2,1,2,2,6,6,6,6,5,3,6,6,6,6,6,6,6,5,working_with_degree,social_sciences,34,not affected,4,3,5,3,3,5,6,3,4,5,3,3,3,3,3,5,1,2,2,1,1,1,1,1,1,2,2,2,1,1,1,2,2,2,1,1,2,vegan,46,21,21,43,39,10,58,56,69,59,12,54,12,109,20,433,7,4.666666666666667,4.375,4.5,4.428571428571429,2.1666666666666665,5.642857142857143,3.75,3
193,fbg,4,3,5,4,4,5,4,3,5,5,5,6,6,5,5,5,5,5,5,5,5,2,2,3,2,2,2,2,2,2,2,2,2,5,5,5,5,5,4,5,5,5,5,5,5,5,5,university student,social_sciences,34,affected,4,4,4,4,4,4,4,4,4,4,3,2,3,3,3,4,2,2,1,1,1,2,1,1,1,1,1,1,2,1,1,2,2,2,1,1,1,not vegan,9,10,40,178,47,NA,61,81,92,69,31,74,15,120,25,688,9,4.166666666666667,4.875,4.571428571428571,5,2.0833333333333335,4.928571428571429,4,2.8
194,fbg,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,4,4,4,3,3,3,3,3,3,3,3,2,3,3,4,5,5,3,6,6,5,5,5,5,4,5,4,6,3,working_without_degree,NA,35,affected,2,2,2,2,4,4,5,4,5,4,5,5,5,5,5,11,2,2,2,2,2,2,1,2,2,2,2,1,1,1,2,2,2,2,1,1,1,not vegan,27,13,46,66,55,NA,85,90,110,282,18,209,29,215,267,990,15,4,4,4,3.5714285714285716,3,4.785714285714286,2,5
196,fbg,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,6,5,5,2,6,1,3,3,1,2,2,4,2,4,3,2,2,6,6,6,1,4,2,6,6,4,6,6,6,6,6,university student,social_sciences,35,not affected,4,3,3,3,4,6,6,3,6,4,5,4,3,5,4,13,2,2,2,2,2,2,2,2,1,2,2,2,2,1,2,2,2,2,1,1,2,not vegan,42,6,39,58,35,NA,38,43,49,47,8,287,19,113,15,623,15,5,5,5,4.428571428571429,2.4166666666666665,5.071428571428571,3.25,4.2
198,fbg,4,5,5,5,5,5,6,5,4,4,4,4,4,4,1,1,1,1,1,1,1,1,6,6,6,5,6,6,5,6,6,4,2,3,1,1,2,6,1,6,1,1,1,1,1,1,1,university student,natural_sciences,36,affected,4,2,3,4,4,6,6,4,5,6,2,1,1,3,2,5,1,2,2,1,2,2,1,1,1,1,1,1,2,1,1,2,2,2,1,1,1,not vegan,27,6,33,72,46,12,63,182,86,73,28,57,11,149,13,663,8,4.833333333333333,4.375,4.571428571428571,1,4.916666666666667,1.9285714285714286,3.25,1.8
199,fbg,4,5,5,3,4,5,6,6,3,4,4,4,3,3,4,3,5,3,4,4,4,2,4,4,4,4,4,4,3,3,3,3,3,4,3,4,4,2,2,4,5,4,3,4,2,2,3,university student,social_sciences,36,not affected,5,3,4,5,3,5,5,3,5,3,3,2,4,3,4,4,2,2,1,1,1,2,1,1,1,2,1,1,1,1,1,2,2,2,1,1,2,not vegan,32,29,38,40,34,NA,45,44,62,63,10,75,10,117,15,421,6,4.333333333333333,4.125,4.214285714285714,3.857142857142857,3.4166666666666665,3.2857142857142856,4.25,3.2
207,NA,4,4,5,4,4,5,4,4,4,4,6,4,4,4,4,3,4,4,4,4,4,2,2,3,3,4,2,4,3,1,2,3,4,4,5,4,5,5,4,4,4,2,4,4,3,4,4,university student,other,39,affected,6,5,5,6,3,6,5,3,6,4,3,3,3,3,3,5,1,2,1,1,2,2,1,1,2,1,2,1,1,1,1,2,2,2,1,1,1,not vegan,7,6,32,112,63,35,140,91,165,74,28,70,11,133,14,821,5,4.333333333333333,4.25,4.285714285714286,3.857142857142857,2.75,4,5.5,3
210,fbg,5,4,5,5,6,5,4,4,4,4,6,5,5,4,5,5,6,5,6,5,5,1,1,3,3,3,3,1,1,1,1,1,1,6,6,6,6,6,6,6,6,6,6,6,6,6,6,university student,social_sciences,40,affected,6,6,5,6,4,6,6,3,6,5,5,5,3,5,3,8,2,2,2,1,2,2,2,1,1,2,1,2,1,1,1,2,2,2,1,1,1,vegan,13,4,12,43,13,NA,54,36,67,31,7,6,19,98,14,288,14,5,4.5,4.714285714285714,5.285714285714286,1.6666666666666667,6,5.75,4.2
215,fbg,2,4,3,1,3,2,1,1,2,3,2,2,2,2,1,1,1,1,1,1,3,3,4,3,4,6,6,5,6,4,2,5,4,6,6,6,6,4,4,6,1,6,6,6,6,6,6,university student,humanities,41,not affected,5,4,4,5,5,5,6,5,6,6,4,4,3,3,4,4,1,1,1,1,2,2,1,2,1,1,1,1,1,1,2,2,2,2,1,1,2,not vegan,28,11,17,73,20,NA,56,51,81,55,11,66,11,104,20,441,6,2.5,1.875,2.142857142857143,1.2857142857142858,4.333333333333333,5.357142857142857,4.5,3.6
218,fb,5,6,6,4,5,5,6,6,6,6,6,6,5,5,5,5,6,5,3,3,5,1,1,4,3,1,3,3,5,1,1,2,2,6,4,5,6,6,4,6,4,6,4,6,6,6,6,university student,social_sciences,42,affected,4,6,4,4,4,6,5,4,5,5,5,4,3,5,5,10,1,2,2,1,2,2,1,2,1,2,2,2,1,2,2,2,2,2,1,1,1,vegan,19,4,17,37,15,5,39,37,45,47,8,49,12,81,11,311,6,5.166666666666667,5.75,5.5,4.571428571428571,2.25,5.357142857142857,4.5,4.4
219,fbg,5,4,5,4,3,4,5,5,4,4,4,4,4,3,4,3,4,4,4,4,4,4,3,5,3,4,3,5,3,3,2,4,3,6,5,6,5,5,5,6,5,6,6,4,6,6,6,working_with_degree,social_sciences,43,affected,4,5,3,3,4,5,5,3,4,5,4,2,3,4,3,8,1,2,1,2,1,2,1,2,1,2,2,2,1,1,2,2,2,2,1,1,1,vegan,17,5,15,22,21,20,40,38,52,65,7,39,11,87,6,330,6,4.166666666666667,4.125,4.142857142857143,3.857142857142857,3.5,5.5,3.75,3.2
238,fbg,5,6,5,5,5,5,5,5,5,4,5,5,5,5,5,5,6,3,3,5,5,2,3,4,4,4,3,3,2,3,4,3,3,2,2,2,3,2,1,4,3,1,3,2,2,3,4,working_with_degree,social_sciences,43,not affected,5,4,5,4,4,5,5,4,5,4,2,1,2,3,3,5,1,2,1,1,1,1,1,2,1,1,2,2,1,1,2,2,2,2,1,1,2,not vegan,11,11,33,45,34,37,53,53,69,73,16,104,18,122,22,535,7,5.166666666666667,4.875,5,4.571428571428571,3.1666666666666665,2.4285714285714284,4.5,2.2
242,fbg,2,1,3,4,4,4,1,6,1,1,1,1,6,4,3,2,3,1,1,2,3,4,5,4,4,5,5,6,5,5,6,2,1,5,4,3,6,3,1,5,3,6,3,1,1,2,3,university student,social_sciences,45,not affected,2,3,2,2,2,6,6,2,6,3,4,1,2,5,5,8,1,1,2,1,2,2,1,2,1,2,2,2,1,1,2,2,2,2,1,1,2,not vegan,53,11,25,72,34,NA,75,85,72,67,10,83,16,105,21,539,4,3,2.625,2.7857142857142856,2.142857142857143,4.333333333333333,3.2857142857142856,2.25,3.4
244,fbg,5,4,6,4,4,5,6,6,3,6,4,5,4,4,4,4,4,1,3,4,4,1,5,3,3,2,4,5,2,5,4,4,1,4,3,2,5,5,1,2,3,3,1,4,1,2,1,university student,social_sciences,45,affected,6,4,6,5,4,6,6,3,4,3,1,2,2,3,4,7,1,2,1,1,2,2,1,2,1,2,2,2,1,1,1,2,2,2,1,1,1,not vegan,26,30,38,75,31,NA,56,61,93,78,12,54,19,115,12,517,5,4.666666666666667,4.75,4.714285714285714,3.4285714285714284,3.25,2.642857142857143,5.25,2.4
249,fbg,5,5,6,4,3,4,4,5,5,5,4,4,5,5,4,2,4,4,4,3,4,4,4,3,2,5,2,3,4,3,2,4,3,5,5,6,5,5,3,6,6,5,6,5,5,6,6,university student,social_sciences,47,not affected,5,5,4,5,4,5,6,4,5,5,4,3,2,4,5,9,2,2,2,2,2,2,1,2,1,2,1,1,1,1,2,2,2,2,1,1,2,not vegan,25,5,19,61,21,NA,95,51,90,52,13,4,27,103,14,433,6,4.5,4.625,4.571428571428571,3.5714285714285716,3.25,5.285714285714286,4.75,3.6
