ppt,life_sat,worthwhile,happy,anxious,relationship,physical_health,mental_wellbeing,financial,work,balance,local,health,gender,age_group,marital,education,employment,occupation
485,7,8,10,0,10,7,10,7,7,8,10,good_to_bad,female,25to44,single,degree,full_time,intermediate
826,5,10,10,3,10,6,10,4,4,7,6,good_to_bad,male,55to64,widowed_divorced_sep,no_degree,full_time,intermediate
663,8,7,9,0,10,8,9,9,9,10,8,very_good,male,25to44,single,degree,full_time,managerial_professional
740,8,6,6,2,9,6,8,7,1,6,8,very_good,male,55to64,married,no_degree,full_time,routine_manual
308,8,8,9,2,10,8,6,7,8,6,7,good_to_bad,female,25to44,married,degree,full_time,managerial_professional
585,9,9,6,3,9,10,10,8,8,10,10,very_good,male,25to44,married,no_degree,full_time,managerial_professional
884,7,7,4,4,10,8,8,2,5,8,10,very_good,female,25to44,widowed_divorced_sep,no_degree,part_time,managerial_professional
310,8,9,4,8,10,6,7,9,4,4,9,good_to_bad,male,45to54,married,degree,full_time,managerial_professional
833,10,10,10,0,10,10,10,10,10,10,7,very_good,male,55to64,married,no_degree,full_time,managerial_professional
492,8,5,8,5,10,7,8,3,1,9,8,good_to_bad,male,16to24,married,no_degree,part_time,routine_manual
141,6,10,3,8,3,4,2,1,8,4,10,good_to_bad,male,45to54,widowed_divorced_sep,no_degree,full_time,intermediate
799,7,8,6,1,8,5,8,7,8,6,4,good_to_bad,female,45to54,married,no_degree,full_time,managerial_professional
151,5,5,5,5,10,5,2,5,3,5,6,good_to_bad,female,25to44,single,no_degree,part_time,routine_manual
204,7,8,8,0,9,7,8,7,6,7,7,very_good,male,25to44,married,no_degree,full_time,managerial_professional
629,6,6,4,7,8,5,7,4,5,4,8,good_to_bad,male,25to44,married,degree,full_time,managerial_professional
158,8,5,9,1,6,8,8,5,6,5,6,very_good,male,25to44,married,no_degree,full_time,intermediate
671,5,5,3,1,8,8,5,3,1,1,8,very_good,female,25to44,single,no_degree,full_time,intermediate
428,9,8,9,3,9,9,9,9,9,8,10,very_good,male,55to64,married,degree,full_time,managerial_professional
438,9,9,9,2,8,8,8,6,9,10,10,very_good,female,25to44,married,degree,part_time,intermediate
164,7,7,6,5,7,6,8,7,7,5,7,good_to_bad,male,55to64,married,degree,full_time,managerial_professional
113,7,7,7,8,5,8,8,6,7,8,9,good_to_bad,male,55to64,single,no_degree,full_time,routine_manual
631,8,8,7,2,8,6,6,8,8,7,8,good_to_bad,female,45to54,married,degree,full_time,managerial_professional
613,9,9,9,0,9,8,9,7,8,8,7,very_good,male,25to44,married,no_degree,full_time,intermediate
189,5,7,7,0,7,4,8,8,8,5,7,good_to_bad,female,55to64,married,no_degree,full_time,intermediate
786,7,5,7,3,8,7,8,8,7,7,8,good_to_bad,male,45to54,married,degree,full_time,managerial_professional
291,8,8,8,4,9,9,10,10,10,6,9,very_good,female,45to54,widowed_divorced_sep,no_degree,full_time,managerial_professional
730,9,7,3,0,9,8,10,8,6,9,10,very_good,male,55to64,married,no_degree,full_time,routine_manual
25,5,5,6,3,5,9,7,8,8,7,5,very_good,female,25to44,widowed_divorced_sep,no_degree,full_time,managerial_professional
72,9,9,8,0,8,10,9,9,8,8,8,very_good,female,25to44,married,degree,part_time,intermediate
945,8,8,10,2,9,9,6,4,9,8,5,very_good,female,25to44,married,degree,full_time,routine_manual
53,8,8,9,1,10,7,8,9,4,3,8,good_to_bad,female,45to54,married,no_degree,part_time,intermediate
919,8,8,4,10,9,7,8,7,7,7,6,good_to_bad,female,45to54,widowed_divorced_sep,no_degree,part_time,routine_manual
549,5,5,10,5,10,10,10,9,9,10,9,good_to_bad,male,45to54,widowed_divorced_sep,no_degree,full_time,routine_manual
508,5,5,7,0,10,7,10,0,6,10,8,very_good,male,25to44,single,no_degree,full_time,intermediate
541,6,6,7,8,5,6,6,6,8,8,9,good_to_bad,female,25to44,single,no_degree,full_time,intermediate
394,8,8,7,4,10,8,8,6,8,9,7,very_good,female,25to44,widowed_divorced_sep,no_degree,part_time,managerial_professional
303,8,9,9,2,10,6,6,7,7,8,10,good_to_bad,male,55to64,married,no_degree,part_time,intermediate
948,7,7,8,0,9,5,10,7,7,6,10,good_to_bad,female,25to44,single,no_degree,full_time,routine_manual
936,9,9,1,3,9,6,10,3,8,4,9,good_to_bad,male,25to44,married,degree,full_time,managerial_professional
222,8,8,7,1,9,9,8,7,7,8,7,very_good,male,45to54,married,no_degree,full_time,routine_manual
711,8,6,7,3,6,8,7,8,5,8,9,good_to_bad,female,25to44,married,degree,part_time,managerial_professional
747,10,10,10,0,10,10,10,9,9,9,10,very_good,male,25to44,married,no_degree,full_time,routine_manual
723,10,10,10,10,10,10,10,6,6,5,10,good_to_bad,male,25to44,married,no_degree,full_time,routine_manual
941,10,5,8,7,10,7,10,3,7,6,8,good_to_bad,male,25to44,married,no_degree,part_time,routine_manual
227,8,8,9,0,10,10,9,8,10,9,10,very_good,male,25to44,married,no_degree,full_time,routine_manual
275,6,8,8,3,5,7,7,4,5,4,4,very_good,male,55to64,widowed_divorced_sep,degree,full_time,intermediate
566,8,7,5,0,10,8,10,6,4,6,7,good_to_bad,female,25to44,single,no_degree,part_time,routine_manual
921,7,8,7,1,5,5,8,8,8,2,7,good_to_bad,male,55to64,widowed_divorced_sep,no_degree,full_time,routine_manual
10,8,8,9,0,9,7,8,7,3,6,8,good_to_bad,male,45to54,married,no_degree,full_time,managerial_professional
131,8,8,7,0,10,7,8,8,9,5,9,very_good,male,25to44,single,degree,full_time,managerial_professional
398,10,10,8,0,10,10,10,7,7,8,10,very_good,female,25to44,married,no_degree,part_time,intermediate
35,7,5,6,9,7,7,7,4,5,5,8,good_to_bad,female,55to64,widowed_divorced_sep,no_degree,part_time,intermediate
785,9,9,9,1,10,8,8,10,8,9,7,very_good,female,25to44,married,degree,part_time,managerial_professional
900,7,9,8,6,9,7,7,6,9,10,8,very_good,female,45to54,married,no_degree,full_time,intermediate
256,8,9,9,2,9,8,8,9,9,9,8,very_good,female,25to44,married,degree,full_time,managerial_professional
370,5,5,8,0,9,6,9,2,5,8,5,good_to_bad,male,16to24,single,no_degree,full_time,routine_manual
869,9,9,7,7,10,9,9,9,9,10,10,good_to_bad,female,25to44,married,degree,part_time,intermediate
524,8,8,8,3,10,7,5,6,7,3,8,very_good,male,25to44,married,no_degree,full_time,managerial_professional
408,7,8,8,0,9,8,8,8,7,6,8,good_to_bad,male,25to44,widowed_divorced_sep,degree,full_time,managerial_professional
442,7,7,3,0,8,9,8,8,8,8,5,very_good,female,25to44,married,no_degree,part_time,managerial_professional
602,7,9,8,3,8,7,8,5,10,7,7,good_to_bad,male,55to64,married,degree,full_time,managerial_professional
93,10,10,10,0,8,10,10,7,9,9,5,very_good,male,25to44,single,degree,full_time,routine_manual
539,6,7,4,2,8,8,7,4,1,8,8,good_to_bad,male,45to54,widowed_divorced_sep,no_degree,full_time,managerial_professional
511,10,10,10,0,10,9,9,10,10,10,0,very_good,female,25to44,married,no_degree,full_time,routine_manual
500,10,10,10,7,10,10,8,6,10,7,7,good_to_bad,male,55to64,married,no_degree,full_time,intermediate
159,7,8,7,5,7,9,7,4,7,8,7,very_good,female,25to44,married,no_degree,full_time,intermediate
880,8,9,9,3,9,7,9,9,9,10,6,good_to_bad,female,45to54,married,no_degree,part_time,routine_manual
558,7,8,8,8,10,6,7,1,1,10,8,very_good,male,16to24,single,degree,part_time,routine_manual
364,5,9,9,1,7,3,6,5,7,5,10,good_to_bad,female,45to54,single,no_degree,full_time,intermediate
376,8,8,9,0,8,8,9,8,8,7,8,very_good,female,45to54,single,degree,full_time,managerial_professional
437,9,9,9,3,10,9,9,9,8,6,7,very_good,female,45to54,married,degree,full_time,managerial_professional
155,8,9,8,1,9,9,8,7,7,8,10,very_good,female,25to44,married,no_degree,part_time,intermediate
404,8,8,7,4,9,10,7,5,4,9,3,good_to_bad,male,45to54,married,no_degree,full_time,intermediate
348,8,8,8,1,9,9,9,8,9,8,9,very_good,male,25to44,married,degree,full_time,managerial_professional
876,10,10,10,0,10,8,9,8,9,8,10,good_to_bad,female,55to64,married,degree,full_time,managerial_professional
20,10,10,10,0,10,10,10,10,10,10,10,very_good,female,25to44,married,no_degree,part_time,routine_manual
341,9,9,8,7,10,7,8,9,9,8,9,good_to_bad,male,45to54,married,degree,full_time,managerial_professional
659,8,8,8,5,10,8,9,9,8,7,8,good_to_bad,female,55to64,widowed_divorced_sep,no_degree,full_time,routine_manual
153,10,9,10,1,10,8,8,10,10,5,8,very_good,female,16to24,married,no_degree,full_time,managerial_professional
548,8,8,8,0,10,10,10,8,9,10,10,very_good,female,25to44,married,no_degree,part_time,routine_manual
179,9,9,9,3,9,9,9,7,7,7,10,very_good,male,25to44,married,degree,full_time,managerial_professional
751,7,10,10,0,10,8,9,8,8,3,10,good_to_bad,male,25to44,married,degree,full_time,routine_manual
810,5,3,5,10,3,4,5,5,5,7,8,good_to_bad,male,25to44,single,degree,full_time,managerial_professional
238,8,8,8,2,10,7,7,7,5,8,7,very_good,female,45to54,married,no_degree,part_time,routine_manual
315,9,9,8,0,9,8,9,9,8,7,6,very_good,male,25to44,married,no_degree,full_time,managerial_professional
765,10,10,10,0,10,8,10,9,5,8,7,good_to_bad,female,25to44,married,no_degree,part_time,intermediate
587,9,10,10,0,10,4,8,8,10,10,10,good_to_bad,female,25to44,widowed_divorced_sep,no_degree,full_time,intermediate
446,8,8,7,3,10,8,8,7,5,7,6,very_good,female,25to44,married,degree,part_time,managerial_professional
669,9,10,10,0,10,10,10,8,8,10,10,very_good,male,25to44,married,degree,full_time,intermediate
836,7,7,7,0,9,6,7,4,7,7,3,good_to_bad,male,25to44,married,no_degree,full_time,managerial_professional
347,7,7,5,5,8,9,9,8,6,8,6,very_good,male,25to44,married,degree,full_time,managerial_professional
220,10,10,6,4,10,8,10,10,8,7,9,very_good,female,25to44,married,degree,full_time,managerial_professional
839,9,9,10,0,6,8,9,7,8,8,8,very_good,female,45to54,married,degree,part_time,managerial_professional
776,10,8,9,2,10,8,9,8,7,6,8,very_good,female,16to24,single,no_degree,full_time,routine_manual
332,7,7,8,3,9,4,6,5,3,5,9,good_to_bad,female,45to54,married,no_degree,full_time,managerial_professional
286,10,8,8,0,10,8,8,8,5,7,6,good_to_bad,male,45to54,married,no_degree,full_time,routine_manual
201,8,8,9,9,9,8,9,9,6,3,6,very_good,female,25to44,married,degree,full_time,managerial_professional
741,8,8,10,5,10,7,10,7,10,8,10,very_good,female,25to44,widowed_divorced_sep,no_degree,full_time,routine_manual
626,8,7,7,0,8,7,8,8,7,7,8,good_to_bad,male,45to54,married,degree,full_time,managerial_professional
722,9,10,9,3,10,10,10,10,9,9,10,very_good,female,45to54,married,no_degree,full_time,managerial_professional
928,7,7,6,5,9,4,6,3,4,7,9,good_to_bad,male,45to54,widowed_divorced_sep,degree,full_time,managerial_professional
763,10,9,8,5,10,10,9,10,10,3,9,good_to_bad,male,25to44,married,no_degree,full_time,managerial_professional
859,8,6,8,1,9,6,7,7,8,7,8,good_to_bad,male,45to54,married,no_degree,full_time,managerial_professional
55,8,8,8,0,9,8,7,8,7,10,8,good_to_bad,male,55to64,widowed_divorced_sep,no_degree,full_time,routine_manual
419,8,8,7,2,8,7,8,7,8,7,7,good_to_bad,male,25to44,married,no_degree,full_time,intermediate
490,9,10,10,0,10,10,10,8,10,10,10,good_to_bad,male,16to24,single,no_degree,full_time,routine_manual
199,9,10,8,2,8,8,7,10,9,8,9,very_good,female,25to44,married,degree,part_time,managerial_professional
59,10,9,10,0,9,9,10,9,8,8,8,very_good,male,45to54,married,no_degree,full_time,managerial_professional
652,7,7,7,7,10,7,10,5,5,6,7,good_to_bad,female,25to44,married,no_degree,part_time,managerial_professional
473,6,9,6,5,4,6,7,3,6,4,10,good_to_bad,female,25to44,single,degree,part_time,managerial_professional
130,9,7,9,0,10,8,10,7,8,3,6,good_to_bad,male,16to24,married,no_degree,full_time,routine_manual
342,8,8,6,6,8,7,7,7,7,8,8,good_to_bad,male,25to44,married,degree,full_time,managerial_professional
864,8,10,7,3,8,8,8,8,7,8,10,very_good,female,45to54,married,no_degree,part_time,managerial_professional
44,8,8,7,2,8,7,7,7,5,7,5,good_to_bad,male,25to44,married,no_degree,full_time,managerial_professional
397,8,8,5,9,9,7,7,8,7,4,9,good_to_bad,female,55to64,married,degree,full_time,managerial_professional
91,8,8,5,7,10,8,9,9,7,9,8,very_good,male,25to44,married,degree,full_time,managerial_professional
821,9,8,9,5,10,7,8,7,8,9,10,good_to_bad,female,45to54,widowed_divorced_sep,no_degree,full_time,routine_manual
929,10,10,10,5,10,9,4,9,10,10,9,very_good,female,45to54,married,degree,part_time,intermediate
618,10,10,10,0,9,8,8,8,8,10,10,good_to_bad,female,45to54,widowed_divorced_sep,no_degree,part_time,intermediate
910,10,10,2,0,10,8,7,7,5,4,8,good_to_bad,male,25to44,married,no_degree,full_time,routine_manual
295,9,9,10,2,10,8,10,8,7,6,9,very_good,female,45to54,married,no_degree,full_time,intermediate
371,6,6,6,4,8,7,7,7,7,7,7,good_to_bad,female,25to44,married,no_degree,part_time,intermediate
891,4,5,7,3,4,8,9,0,3,5,9,good_to_bad,male,25to44,widowed_divorced_sep,no_degree,full_time,routine_manual
704,8,9,5,4,8,7,8,9,6,6,6,very_good,female,25to44,married,degree,part_time,managerial_professional
699,8,7,8,2,0,7,10,7,4,5,7,good_to_bad,female,25to44,single,degree,full_time,managerial_professional
752,6,9,9,0,10,9,6,1,9,9,9,very_good,female,55to64,single,degree,part_time,routine_manual
381,8,7,6,4,8,5,8,8,6,6,9,good_to_bad,male,45to54,married,no_degree,full_time,routine_manual
249,5,5,6,4,7,6,7,8,7,5,7,good_to_bad,female,55to64,single,degree,full_time,managerial_professional
590,10,10,10,0,10,9,10,9,9,8,7,very_good,female,25to44,married,degree,full_time,intermediate
480,8,5,10,0,10,8,9,2,4,3,5,good_to_bad,male,16to24,single,no_degree,part_time,routine_manual
519,7,8,8,5,10,5,5,7,4,6,9,good_to_bad,male,45to54,married,no_degree,full_time,managerial_professional
598,9,8,9,0,9,9,9,9,8,8,9,very_good,female,45to54,married,no_degree,part_time,intermediate
506,8,9,8,2,9,9,9,10,3,3,10,good_to_bad,female,25to44,married,degree,part_time,managerial_professional
140,10,10,10,1,8,10,9,8,8,8,9,very_good,female,25to44,married,degree,part_time,routine_manual
447,8,7,7,0,10,8,8,3,9,9,8,good_to_bad,male,25to44,married,no_degree,full_time,routine_manual
235,7,8,7,2,7,6,8,6,8,6,7,good_to_bad,male,25to44,married,no_degree,full_time,intermediate
127,10,10,10,0,10,8,10,8,10,8,10,good_to_bad,male,55to64,married,no_degree,full_time,managerial_professional
949,8,10,8,2,10,9,10,9,10,10,10,very_good,male,45to54,widowed_divorced_sep,degree,full_time,managerial_professional
716,8,7,9,0,10,10,10,5,6,7,8,very_good,female,25to44,married,degree,full_time,intermediate
903,7,6,6,3,7,6,7,6,7,6,8,good_to_bad,male,55to64,widowed_divorced_sep,no_degree,full_time,routine_manual
692,7,9,8,2,9,5,6,5,10,8,9,very_good,female,25to44,married,no_degree,full_time,intermediate
897,8,10,10,0,10,8,8,0,5,5,3,very_good,female,45to54,married,degree,part_time,managerial_professional
57,8,9,7,2,8,8,9,5,6,8,7,good_to_bad,female,55to64,married,degree,part_time,managerial_professional
693,6,9,8,2,3,2,6,5,5,2,7,good_to_bad,female,45to54,married,no_degree,full_time,managerial_professional
247,10,8,7,0,8,5,9,8,7,6,10,very_good,female,55to64,married,no_degree,part_time,managerial_professional
567,6,8,6,3,9,9,9,8,8,8,8,very_good,female,55to64,widowed_divorced_sep,no_degree,full_time,intermediate
174,8,8,9,3,10,8,8,8,8,5,7,good_to_bad,female,25to44,single,degree,full_time,managerial_professional
703,7,8,9,10,10,8,9,7,7,10,10,very_good,male,25to44,married,no_degree,full_time,routine_manual
555,10,8,10,3,8,9,10,9,10,6,10,very_good,female,45to54,widowed_divorced_sep,no_degree,full_time,routine_manual
818,7,7,9,5,10,8,9,6,8,5,9,good_to_bad,male,25to44,married,no_degree,full_time,routine_manual
588,8,7,8,1,8,5,8,7,6,5,7,good_to_bad,female,55to64,married,no_degree,full_time,managerial_professional
163,8,8,7,3,9,6,8,7,9,8,8,very_good,female,45to54,married,degree,part_time,intermediate
243,9,10,9,2,10,9,9,8,9,10,8,good_to_bad,female,45to54,married,no_degree,part_time,intermediate
373,9,8,7,5,10,8,9,9,7,7,8,good_to_bad,female,45to54,married,degree,full_time,managerial_professional
507,9,9,10,5,10,9,9,9,10,8,9,good_to_bad,male,25to44,married,degree,full_time,managerial_professional
619,10,10,10,0,10,6,10,10,10,7,5,very_good,female,25to44,married,no_degree,full_time,intermediate
666,9,10,7,0,10,6,10,5,5,5,7,very_good,male,25to44,married,no_degree,full_time,routine_manual
96,5,6,7,4,6,9,9,5,5,5,7,very_good,female,25to44,single,no_degree,full_time,routine_manual
644,8,8,8,1,9,9,9,9,9,9,9,very_good,female,25to44,married,no_degree,part_time,managerial_professional
850,10,10,10,0,10,10,10,10,10,8,8,very_good,male,25to44,single,no_degree,full_time,routine_manual
934,8,9,9,2,10,9,9,7,8,5,5,very_good,female,25to44,single,degree,full_time,managerial_professional
828,8,10,8,2,7,9,9,7,6,6,10,good_to_bad,male,25to44,widowed_divorced_sep,degree,full_time,managerial_professional
952,8,7,7,2,10,7,9,8,8,8,9,good_to_bad,male,55to64,married,no_degree,full_time,routine_manual
789,10,8,10,0,10,9,10,6,7,8,5,very_good,female,25to44,married,degree,part_time,managerial_professional
847,8,8,9,0,9,8,9,7,7,9,8,very_good,male,55to64,married,degree,full_time,intermediate
856,10,9,9,0,10,10,8,7,10,5,7,very_good,female,55to64,married,no_degree,full_time,routine_manual
200,6,8,5,5,6,8,9,7,7,7,6,very_good,male,16to24,single,no_degree,full_time,routine_manual
907,10,8,10,0,9,9,10,5,5,5,3,good_to_bad,male,55to64,widowed_divorced_sep,no_degree,full_time,intermediate
820,7,8,5,4,5,3,3,6,8,7,10,good_to_bad,female,25to44,married,degree,part_time,managerial_professional
909,7,10,4,9,5,8,8,8,2,8,4,good_to_bad,female,25to44,married,degree,part_time,intermediate
31,8,10,8,5,8,5,5,7,9,7,9,good_to_bad,female,45to54,married,no_degree,part_time,routine_manual
947,8,7,4,8,8,10,8,8,6,4,7,very_good,female,25to44,single,no_degree,full_time,routine_manual
354,8,8,9,0,8,7,8,6,7,5,8,good_to_bad,female,25to44,single,degree,full_time,managerial_professional
713,7,8,6,9,7,6,8,5,6,6,8,good_to_bad,female,25to44,single,degree,full_time,managerial_professional
119,10,9,7,2,10,7,7,7,8,6,9,good_to_bad,male,45to54,married,no_degree,full_time,intermediate
261,0,0,4,0,4,0,0,0,0,5,7,good_to_bad,male,16to24,single,no_degree,part_time,routine_manual
564,5,8,10,2,6,8,6,5,6,9,5,very_good,female,25to44,married,no_degree,full_time,intermediate
162,5,9,8,0,10,6,10,3,5,8,8,very_good,female,25to44,widowed_divorced_sep,no_degree,part_time,routine_manual
677,10,9,10,0,9,9,10,10,1,9,9,very_good,male,25to44,married,degree,full_time,managerial_professional
562,8,8,9,0,8,8,8,3,8,2,9,good_to_bad,female,25to44,single,no_degree,full_time,managerial_professional
429,5,7,5,4,6,6,9,6,8,6,4,very_good,female,25to44,widowed_divorced_sep,no_degree,full_time,intermediate
476,6,8,8,5,4,6,6,4,7,2,9,good_to_bad,female,25to44,widowed_divorced_sep,no_degree,full_time,managerial_professional
698,10,10,9,0,9,9,7,10,10,10,10,very_good,female,45to54,married,no_degree,part_time,routine_manual
