ppt,life_sat,worthwhile,happy,anxious,relationship,physical_health,mental_wellbeing,financial,work,balance,local,health,gender,age_group,marital,education,employment,occupation,children
611,5,7,7,3,4,3,9,8,6,3,6,good_to_bad,female,25to44,widowed_divorced_sep,degree,full_time,managerial_professional,yes
851,10,8,10,0,10,8,9,9,9,4,10,good_to_bad,male,25to44,married,no_degree,full_time,managerial_professional,no
518,5,8,8,1,8,7,8,6,9,9,9,very_good,female,45to54,married,no_degree,full_time,managerial_professional,no
630,3,9,9,1,10,4,9,9,5,4,9,good_to_bad,female,55to64,widowed_divorced_sep,degree,full_time,intermediate,no
941,10,5,8,7,10,7,10,3,7,6,8,good_to_bad,male,25to44,married,no_degree,part_time,routine_manual,yes
888,5,8,10,7,3,3,8,3,8,5,3,good_to_bad,male,55to64,married,no_degree,part_time,managerial_professional,no
485,7,8,10,0,10,7,10,7,7,8,10,good_to_bad,female,25to44,single,degree,full_time,intermediate,no
275,6,8,8,3,5,7,7,4,5,4,4,very_good,male,55to64,widowed_divorced_sep,degree,full_time,intermediate,no
823,8,10,8,3,8,7,5,8,9,5,10,very_good,female,45to54,widowed_divorced_sep,degree,full_time,managerial_professional,no
337,8,8,9,5,8,7,9,7,5,4,9,very_good,male,25to44,married,no_degree,full_time,managerial_professional,yes
907,10,8,10,0,9,9,10,5,5,5,3,good_to_bad,male,55to64,widowed_divorced_sep,no_degree,full_time,intermediate,no
178,8,9,8,3,8,8,8,7,6,8,10,very_good,male,25to44,married,no_degree,full_time,managerial_professional,no
866,8,8,9,0,8,7,5,9,8,7,9,good_to_bad,male,25to44,married,degree,full_time,managerial_professional,no
107,8,7,8,3,8,8,9,3,5,4,7,very_good,male,25to44,married,no_degree,part_time,managerial_professional,yes
205,4,10,5,5,8,3,5,5,6,5,5,good_to_bad,female,55to64,widowed_divorced_sep,no_degree,full_time,managerial_professional,no
54,7,3,7,7,10,6,9,7,5,6,8,good_to_bad,female,16to24,married,no_degree,full_time,intermediate,no
146,10,10,10,1,10,4,10,8,10,8,6,good_to_bad,female,25to44,married,degree,full_time,managerial_professional,yes
25,5,5,6,3,5,9,7,8,8,7,5,very_good,female,25to44,widowed_divorced_sep,no_degree,full_time,managerial_professional,no
171,8,10,9,5,9,10,9,3,9,9,7,very_good,female,25to44,married,degree,full_time,managerial_professional,no
62,9,9,10,2,9,9,8,7,9,9,7,very_good,male,25to44,married,degree,full_time,managerial_professional,no
316,8,8,8,1,9,8,8,9,9,9,4,very_good,male,25to44,married,no_degree,full_time,managerial_professional,yes
217,7,7,7,0,6,7,7,7,7,8,3,very_good,male,45to54,married,degree,full_time,managerial_professional,yes
406,8,8,6,5,8,7,7,7,5,6,3,very_good,female,25to44,married,degree,part_time,routine_manual,yes
735,8,8,8,2,2,10,7,8,5,6,9,very_good,female,55to64,widowed_divorced_sep,degree,full_time,intermediate,no
553,7,7,8,3,9,6,8,5,8,8,8,very_good,male,25to44,single,degree,full_time,managerial_professional,no
616,9,8,9,2,10,9,8,9,7,8,7,very_good,female,25to44,married,degree,full_time,managerial_professional,no
292,9,9,6,4,8,9,9,5,6,5,6,good_to_bad,female,25to44,single,no_degree,full_time,intermediate,no
467,9,10,6,5,10,8,8,8,8,9,9,good_to_bad,female,45to54,married,no_degree,full_time,intermediate,no
815,8,9,9,1,7,10,10,8,9,8,10,very_good,female,25to44,widowed_divorced_sep,no_degree,full_time,intermediate,no
495,8,8,8,3,8,8,9,9,9,6,10,very_good,male,45to54,married,no_degree,full_time,managerial_professional,yes
115,8,10,10,7,8,10,10,7,8,5,8,very_good,male,25to44,married,no_degree,full_time,routine_manual,no
222,8,8,7,1,9,9,8,7,7,8,7,very_good,male,45to54,married,no_degree,full_time,routine_manual,yes
832,7,8,10,0,8,8,10,8,9,10,9,good_to_bad,female,55to64,widowed_divorced_sep,degree,full_time,routine_manual,no
488,8,5,8,4,10,10,10,7,8,6,7,very_good,male,16to24,single,no_degree,part_time,routine_manual,no
137,8,9,6,6,9,7,9,9,8,8,8,good_to_bad,female,55to64,widowed_divorced_sep,degree,part_time,intermediate,no
919,8,8,4,10,9,7,8,7,7,7,6,good_to_bad,female,45to54,widowed_divorced_sep,no_degree,part_time,routine_manual,yes
556,7,8,5,6,7,6,6,8,9,9,8,good_to_bad,female,45to54,married,no_degree,part_time,managerial_professional,no
257,9,9,9,7,9,8,9,9,8,4,9,good_to_bad,male,25to44,married,no_degree,full_time,managerial_professional,yes
958,6,7,4,7,10,7,8,4,7,7,7,good_to_bad,male,25to44,married,no_degree,full_time,routine_manual,yes
453,8,10,10,0,10,7,10,7,5,7,7,very_good,female,25to44,single,no_degree,part_time,intermediate,yes
435,8,10,10,0,10,8,10,5,10,10,10,very_good,female,45to54,widowed_divorced_sep,no_degree,part_time,routine_manual,no
572,7,8,3,7,8,8,8,7,7,7,8,good_to_bad,male,25to44,widowed_divorced_sep,no_degree,full_time,intermediate,yes
415,8,10,9,1,10,9,10,6,7,7,10,very_good,female,25to44,widowed_divorced_sep,no_degree,part_time,managerial_professional,yes
590,10,10,10,0,10,9,10,9,9,8,7,very_good,female,25to44,married,degree,full_time,intermediate,yes
577,9,9,7,5,9,9,8,8,8,7,7,very_good,female,55to64,married,degree,full_time,managerial_professional,no
809,8,8,7,7,7,8,8,9,8,3,9,good_to_bad,male,25to44,widowed_divorced_sep,degree,full_time,managerial_professional,no
198,7,6,9,0,10,6,6,8,7,8,10,very_good,female,25to44,single,no_degree,full_time,intermediate,no
19,7,9,9,0,10,6,9,6,4,10,8,good_to_bad,male,25to44,married,no_degree,full_time,routine_manual,yes
290,10,9,9,1,10,8,10,10,10,9,9,good_to_bad,female,55to64,married,degree,part_time,intermediate,no
528,8,8,9,0,10,5,7,8,7,8,6,good_to_bad,female,55to64,married,no_degree,part_time,routine_manual,no
652,7,7,7,7,10,7,10,5,5,6,7,good_to_bad,female,25to44,married,no_degree,part_time,managerial_professional,yes
928,7,7,6,5,9,4,6,3,4,7,9,good_to_bad,male,45to54,widowed_divorced_sep,degree,full_time,managerial_professional,no
816,8,7,9,2,9,8,8,7,5,3,8,very_good,male,45to54,married,no_degree,full_time,intermediate,no
535,10,10,10,4,8,9,9,10,10,9,4,very_good,male,16to24,single,no_degree,full_time,routine_manual,no
409,8,8,5,8,10,7,9,8,4,7,10,good_to_bad,female,45to54,married,no_degree,full_time,routine_manual,no
904,7,8,9,0,9,8,7,9,8,7,8,good_to_bad,male,45to54,widowed_divorced_sep,no_degree,full_time,routine_manual,no
493,7,7,8,10,9,9,7,4,7,8,9,good_to_bad,female,55to64,married,no_degree,part_time,routine_manual,no
437,9,9,9,3,10,9,9,9,8,6,7,very_good,female,45to54,married,degree,full_time,managerial_professional,no
808,6,7,6,3,8,7,8,7,4,5,7,good_to_bad,male,45to54,married,degree,full_time,managerial_professional,yes
421,8,8,7,6,8,5,7,5,3,8,8,good_to_bad,male,25to44,widowed_divorced_sep,no_degree,full_time,managerial_professional,no
555,10,8,10,3,8,9,10,9,10,6,10,very_good,female,45to54,widowed_divorced_sep,no_degree,full_time,routine_manual,yes
89,7,7,5,0,10,4,5,5,9,8,3,good_to_bad,female,25to44,single,no_degree,part_time,routine_manual,yes
236,7,4,9,3,10,10,10,2,5,6,8,very_good,male,25to44,single,degree,full_time,managerial_professional,no
719,7,8,7,2,10,7,7,8,7,6,8,good_to_bad,female,25to44,single,degree,full_time,managerial_professional,no
499,7,8,8,0,8,7,8,7,8,8,7,good_to_bad,male,45to54,married,no_degree,full_time,managerial_professional,no
347,7,7,5,5,8,9,9,8,6,8,6,very_good,male,25to44,married,degree,full_time,managerial_professional,yes
626,8,7,7,0,8,7,8,8,7,7,8,good_to_bad,male,45to54,married,degree,full_time,managerial_professional,no
772,2,0,5,0,10,5,10,0,0,0,10,good_to_bad,male,25to44,single,no_degree,full_time,intermediate,no
389,5,7,9,4,6,6,6,2,5,2,2,good_to_bad,female,25to44,single,degree,full_time,managerial_professional,no
880,8,9,9,3,9,7,9,9,9,10,6,good_to_bad,female,45to54,married,no_degree,part_time,routine_manual,no
253,8,8,6,0,8,6,10,8,5,7,8,good_to_bad,male,45to54,married,no_degree,full_time,routine_manual,yes
416,7,8,7,1,7,7,7,6,6,7,5,very_good,male,16to24,single,no_degree,full_time,routine_manual,no
722,9,10,9,3,10,10,10,10,9,9,10,very_good,female,45to54,married,no_degree,full_time,managerial_professional,no
157,9,5,6,7,4,5,6,7,4,3,4,very_good,male,45to54,married,no_degree,full_time,routine_manual,no
584,10,10,10,0,10,10,10,10,10,10,7,very_good,female,45to54,married,no_degree,full_time,managerial_professional,no
92,9,7,8,4,9,8,9,9,8,7,9,very_good,female,55to64,widowed_divorced_sep,degree,full_time,managerial_professional,no
280,2,2,5,2,6,10,6,4,3,5,8,very_good,male,25to44,single,no_degree,full_time,routine_manual,no
320,8,9,9,2,9,6,8,9,10,7,8,good_to_bad,male,25to44,married,no_degree,full_time,managerial_professional,yes
812,8,8,10,1,9,8,9,10,8,7,8,good_to_bad,male,25to44,single,degree,full_time,intermediate,no
319,6,6,5,4,10,5,5,5,6,8,5,very_good,female,25to44,single,no_degree,part_time,routine_manual,yes
405,9,9,7,0,9,5,7,6,8,9,5,very_good,female,25to44,single,no_degree,part_time,routine_manual,no
729,7,7,9,3,9,7,8,5,2,2,8,good_to_bad,male,25to44,married,no_degree,full_time,intermediate,no
295,9,9,10,2,10,8,10,8,7,6,9,very_good,female,45to54,married,no_degree,full_time,intermediate,no
360,6,6,9,7,9,8,7,8,7,8,8,very_good,female,25to44,married,no_degree,full_time,managerial_professional,no
7,5,7,7,3,10,4,4,0,2,3,3,good_to_bad,female,25to44,married,degree,full_time,managerial_professional,yes
154,4,6,10,5,10,10,10,3,10,3,10,good_to_bad,female,25to44,married,no_degree,part_time,routine_manual,no
466,7,8,9,1,10,8,8,6,7,9,10,very_good,male,55to64,married,no_degree,full_time,intermediate,no
663,8,7,9,0,10,8,9,9,9,10,8,very_good,male,25to44,single,degree,full_time,managerial_professional,no
619,10,10,10,0,10,6,10,10,10,7,5,very_good,female,25to44,married,no_degree,full_time,intermediate,yes
551,7,6,6,9,9,8,3,4,2,3,7,good_to_bad,male,25to44,married,no_degree,full_time,intermediate,yes
45,10,8,8,0,10,10,10,8,8,10,8,very_good,female,25to44,married,no_degree,full_time,managerial_professional,yes
148,9,9,10,0,10,9,9,9,7,8,9,good_to_bad,female,45to54,married,no_degree,part_time,managerial_professional,no
582,8,9,7,3,7,9,9,8,9,7,9,very_good,male,55to64,single,no_degree,full_time,intermediate,no
252,10,10,8,0,10,7,8,6,6,5,10,good_to_bad,male,55to64,married,no_degree,part_time,intermediate,no
912,3,7,4,9,1,7,9,3,8,4,8,very_good,female,45to54,widowed_divorced_sep,no_degree,full_time,intermediate,no
718,8,8,9,0,10,8,8,8,9,7,5,good_to_bad,female,55to64,married,no_degree,part_time,routine_manual,no
727,7,9,9,0,5,7,9,8,9,8,9,good_to_bad,female,55to64,single,no_degree,full_time,intermediate,no
428,9,8,9,3,9,9,9,9,9,8,10,very_good,male,55to64,married,degree,full_time,managerial_professional,no
872,7,8,9,9,10,9,10,8,7,10,10,good_to_bad,male,25to44,married,no_degree,part_time,routine_manual,yes
595,8,7,9,0,10,7,8,8,5,7,6,good_to_bad,female,55to64,married,no_degree,part_time,intermediate,no
920,8,8,8,2,8,7,7,7,8,7,9,good_to_bad,male,25to44,married,degree,full_time,managerial_professional,yes
531,6,6,8,1,6,9,8,6,6,6,8,very_good,female,55to64,married,no_degree,part_time,managerial_professional,no
410,7,9,10,0,8,7,9,6,9,10,8,good_to_bad,male,25to44,widowed_divorced_sep,no_degree,full_time,managerial_professional,yes
61,8,7,9,2,9,7,7,8,5,5,9,good_to_bad,male,55to64,married,no_degree,full_time,managerial_professional,no
461,9,9,9,0,10,8,10,8,10,8,9,very_good,male,45to54,married,no_degree,full_time,managerial_professional,yes
805,8,5,8,0,7,6,6,8,7,5,8,good_to_bad,male,45to54,married,no_degree,full_time,managerial_professional,yes
287,10,10,9,3,8,5,8,3,3,9,9,good_to_bad,male,16to24,single,no_degree,part_time,routine_manual,no
659,8,8,8,5,10,8,9,9,8,7,8,good_to_bad,female,55to64,widowed_divorced_sep,no_degree,full_time,routine_manual,no
916,9,10,10,2,10,8,9,5,10,10,4,good_to_bad,female,25to44,widowed_divorced_sep,no_degree,full_time,intermediate,yes
677,10,9,10,0,9,9,10,10,1,9,9,very_good,male,25to44,married,degree,full_time,managerial_professional,no
777,10,8,10,0,9,2,8,6,8,10,10,good_to_bad,male,25to44,married,no_degree,full_time,managerial_professional,yes
210,8,8,9,2,9,6,4,4,6,7,10,good_to_bad,female,45to54,widowed_divorced_sep,degree,part_time,managerial_professional,no
445,9,8,10,3,10,8,8,6,7,2,7,very_good,female,25to44,married,degree,part_time,managerial_professional,yes
745,9,9,10,1,10,9,9,9,10,7,8,very_good,male,55to64,widowed_divorced_sep,no_degree,full_time,routine_manual,no
31,8,10,8,5,8,5,5,7,9,7,9,good_to_bad,female,45to54,married,no_degree,part_time,routine_manual,no
757,8,9,8,2,8,6,9,9,8,6,5,good_to_bad,female,25to44,married,degree,full_time,managerial_professional,no
362,8,8,7,5,10,3,4,6,7,7,8,good_to_bad,female,25to44,married,no_degree,full_time,intermediate,no
152,8,7,5,5,8,6,7,7,6,3,8,very_good,female,16to24,married,degree,full_time,managerial_professional,no
471,7,7,7,4,5,6,8,8,6,6,8,good_to_bad,male,55to64,married,no_degree,part_time,managerial_professional,no
161,8,10,8,0,10,10,7,7,10,5,10,good_to_bad,female,25to44,married,no_degree,part_time,routine_manual,yes
149,7,7,8,4,9,10,7,6,6,7,7,very_good,female,25to44,single,no_degree,part_time,routine_manual,yes
2,7,8,8,0,10,8,8,4,8,5,8,good_to_bad,male,45to54,married,no_degree,full_time,routine_manual,no
853,7,6,4,4,8,5,7,8,8,5,8,good_to_bad,female,45to54,widowed_divorced_sep,degree,full_time,intermediate,no
846,7,8,4,9,10,3,8,8,7,6,9,good_to_bad,male,55to64,widowed_divorced_sep,no_degree,part_time,intermediate,no
378,8,6,10,0,9,9,9,7,8,7,9,good_to_bad,male,16to24,single,degree,full_time,routine_manual,no
111,9,9,6,0,9,7,8,8,8,9,8,very_good,female,25to44,married,no_degree,full_time,routine_manual,yes
392,8,8,7,1,10,9,10,8,10,8,7,very_good,female,25to44,married,degree,full_time,managerial_professional,no
661,7,8,6,7,9,7,8,6,6,3,9,very_good,male,45to54,married,no_degree,full_time,managerial_professional,yes
194,8,8,9,0,8,7,7,6,6,8,9,very_good,female,25to44,married,degree,part_time,managerial_professional,yes
942,10,10,10,0,7,6,10,10,10,10,10,good_to_bad,female,55to64,married,no_degree,part_time,routine_manual,no
600,7,7,7,6,10,7,10,7,7,3,5,very_good,male,25to44,married,degree,full_time,managerial_professional,yes
856,10,9,9,0,10,10,8,7,10,5,7,very_good,female,55to64,married,no_degree,full_time,routine_manual,no
344,10,8,10,8,10,10,10,10,6,9,7,good_to_bad,female,45to54,married,no_degree,full_time,routine_manual,no
251,8,7,8,3,9,7,8,7,7,6,8,very_good,male,25to44,married,no_degree,full_time,managerial_professional,yes
489,8,8,8,4,10,5,8,8,8,6,8,good_to_bad,female,25to44,married,no_degree,full_time,intermediate,no
709,9,8,9,0,9,8,9,9,9,9,9,good_to_bad,male,55to64,married,no_degree,part_time,intermediate,no
693,6,9,8,2,3,2,6,5,5,2,7,good_to_bad,female,45to54,married,no_degree,full_time,managerial_professional,yes
614,9,9,6,0,9,8,10,9,9,7,9,very_good,male,55to64,married,no_degree,full_time,routine_manual,no
350,9,8,6,2,10,6,10,10,7,5,10,very_good,female,16to24,married,degree,full_time,managerial_professional,no
282,8,9,9,1,7,5,7,8,7,9,9,good_to_bad,female,45to54,married,degree,full_time,managerial_professional,yes
238,8,8,8,2,10,7,7,7,5,8,7,very_good,female,45to54,married,no_degree,part_time,routine_manual,yes
318,8,10,7,1,10,9,10,10,8,8,10,good_to_bad,female,45to54,married,no_degree,part_time,intermediate,no
129,10,9,10,0,10,10,10,10,8,8,6,good_to_bad,male,25to44,married,no_degree,full_time,routine_manual,no
789,10,8,10,0,10,9,10,6,7,8,5,very_good,female,25to44,married,degree,part_time,managerial_professional,yes
6,7,6,4,9,10,7,8,8,7,7,8,good_to_bad,male,55to64,married,no_degree,full_time,managerial_professional,no
951,10,10,8,1,10,8,8,7,7,8,10,good_to_bad,female,16to24,married,no_degree,part_time,routine_manual,no
674,8,8,9,0,10,7,10,8,7,7,8,good_to_bad,male,25to44,married,degree,full_time,intermediate,yes
505,9,9,10,0,10,9,9,9,7,10,9,very_good,male,45to54,married,no_degree,full_time,managerial_professional,no
863,8,8,10,2,10,10,7,8,10,8,7,very_good,female,25to44,married,no_degree,full_time,routine_manual,yes
648,6,6,8,3,3,9,8,7,6,6,8,good_to_bad,male,55to64,widowed_divorced_sep,no_degree,full_time,intermediate,no
681,9,8,8,2,8,5,8,5,2,5,5,good_to_bad,female,55to64,married,degree,part_time,intermediate,no
609,10,10,10,0,10,5,10,7,10,10,10,good_to_bad,female,25to44,single,no_degree,part_time,managerial_professional,yes
438,9,9,9,2,8,8,8,6,9,10,10,very_good,female,25to44,married,degree,part_time,intermediate,yes
44,8,8,7,2,8,7,7,7,5,7,5,good_to_bad,male,25to44,married,no_degree,full_time,managerial_professional,no
348,8,8,8,1,9,9,9,8,9,8,9,very_good,male,25to44,married,degree,full_time,managerial_professional,yes
845,6,6,7,5,5,7,7,4,4,7,9,very_good,female,16to24,single,no_degree,part_time,routine_manual,no
335,10,8,5,8,10,6,10,8,8,7,10,very_good,female,25to44,married,degree,full_time,managerial_professional,no
220,10,10,6,4,10,8,10,10,8,7,9,very_good,female,25to44,married,degree,full_time,managerial_professional,no
500,10,10,10,7,10,10,8,6,10,7,7,good_to_bad,male,55to64,married,no_degree,full_time,intermediate,no
223,8,8,8,5,10,9,7,9,9,7,7,very_good,male,45to54,married,no_degree,full_time,managerial_professional,no
187,9,9,9,8,9,9,9,8,7,8,8,very_good,male,45to54,married,degree,full_time,managerial_professional,yes
382,8,8,6,8,9,7,7,7,8,7,8,good_to_bad,female,25to44,married,degree,part_time,managerial_professional,yes
413,8,10,7,7,10,6,5,9,4,3,9,good_to_bad,female,45to54,married,no_degree,full_time,managerial_professional,no
396,8,10,9,1,9,6,10,8,9,7,9,good_to_bad,male,25to44,single,degree,full_time,managerial_professional,no
882,8,8,8,0,8,8,8,8,8,8,10,good_to_bad,male,45to54,married,no_degree,full_time,intermediate,yes
915,6,8,5,9,10,4,5,8,9,9,8,good_to_bad,male,55to64,married,no_degree,full_time,intermediate,no
300,9,9,8,4,10,8,10,6,9,5,6,good_to_bad,female,16to24,single,degree,full_time,managerial_professional,no
156,7,7,6,6,6,7,5,4,7,7,5,very_good,female,16to24,single,degree,part_time,managerial_professional,no
108,7,8,9,0,8,9,10,8,6,1,8,good_to_bad,male,25to44,single,no_degree,full_time,routine_manual,no
792,8,8,8,0,10,8,8,5,8,8,8,good_to_bad,male,55to64,married,no_degree,full_time,managerial_professional,no
895,8,7,6,5,10,10,10,8,7,3,8,very_good,male,25to44,married,no_degree,full_time,routine_manual,yes
744,9,8,7,5,9,8,6,8,7,9,8,good_to_bad,female,55to64,married,degree,part_time,intermediate,yes
502,6,7,8,0,7,9,5,5,6,6,9,very_good,male,45to54,single,degree,full_time,intermediate,no
120,7,10,8,3,10,5,9,6,8,9,9,very_good,female,25to44,widowed_divorced_sep,degree,part_time,managerial_professional,yes
550,7,8,7,4,7,9,9,6,8,8,6,very_good,male,55to64,married,degree,full_time,managerial_professional,no
589,4,7,10,0,10,10,10,7,3,4,5,very_good,female,45to54,married,degree,part_time,managerial_professional,yes
862,6,6,6,5,4,7,7,4,3,9,5,very_good,female,25to44,widowed_divorced_sep,degree,part_time,routine_manual,yes
643,8,8,9,4,9,8,8,5,6,8,8,very_good,male,45to54,married,degree,full_time,managerial_professional,no
668,9,9,8,2,9,8,9,8,8,7,7,very_good,male,25to44,married,degree,full_time,managerial_professional,no
97,10,10,10,0,10,9,10,5,8,10,9,very_good,female,25to44,married,no_degree,part_time,intermediate,yes
666,9,10,7,0,10,6,10,5,5,5,7,very_good,male,25to44,married,no_degree,full_time,routine_manual,yes
279,8,8,5,5,8,6,9,4,4,5,9,good_to_bad,male,25to44,married,no_degree,full_time,managerial_professional,yes
122,6,6,8,0,7,5,5,8,8,9,10,good_to_bad,female,25to44,widowed_divorced_sep,no_degree,part_time,intermediate,yes
546,2,5,8,3,4,7,7,3,3,5,9,good_to_bad,male,25to44,widowed_divorced_sep,no_degree,part_time,routine_manual,no
776,10,8,9,2,10,8,9,8,7,6,8,very_good,female,16to24,single,no_degree,full_time,routine_manual,no
79,8,8,5,5,8,6,8,9,5,5,7,good_to_bad,female,25to44,married,degree,full_time,managerial_professional,no
527,8,10,8,10,10,8,10,6,10,10,10,good_to_bad,female,25to44,single,no_degree,part_time,routine_manual,yes
496,9,9,8,2,8,9,8,9,8,6,7,very_good,female,25to44,married,degree,full_time,managerial_professional,no
607,8,9,10,2,10,9,10,7,4,6,7,good_to_bad,male,25to44,married,no_degree,full_time,intermediate,yes
189,5,7,7,0,7,4,8,8,8,5,7,good_to_bad,female,55to64,married,no_degree,full_time,intermediate,no
656,8,8,6,7,8,8,8,8,8,8,5,good_to_bad,female,25to44,married,no_degree,full_time,routine_manual,no
824,6,6,8,1,9,4,8,6,8,7,10,good_to_bad,female,25to44,single,no_degree,part_time,intermediate,yes
827,10,10,10,8,10,8,10,8,3,10,9,very_good,male,55to64,widowed_divorced_sep,no_degree,full_time,intermediate,no
163,8,8,7,3,9,6,8,7,9,8,8,very_good,female,45to54,married,degree,part_time,intermediate,yes
732,8,7,5,3,9,7,10,7,7,6,9,good_to_bad,male,25to44,married,no_degree,full_time,intermediate,yes
931,7,8,7,2,7,5,9,9,7,7,5,good_to_bad,male,25to44,married,no_degree,full_time,managerial_professional,yes
11,2,1,2,8,10,0,10,8,10,4,10,good_to_bad,male,55to64,married,no_degree,part_time,managerial_professional,no
196,10,9,7,7,10,9,10,9,7,8,10,very_good,female,45to54,married,no_degree,full_time,intermediate,no
184,9,9,9,9,10,8,10,7,10,9,8,very_good,female,25to44,married,degree,full_time,intermediate,no
289,8,8,9,2,10,5,9,5,8,10,8,good_to_bad,female,45to54,married,no_degree,part_time,managerial_professional,no
773,8,7,6,8,9,7,7,8,8,6,6,good_to_bad,male,55to64,married,no_degree,full_time,routine_manual,no
952,8,7,7,2,10,7,9,8,8,8,9,good_to_bad,male,55to64,married,no_degree,full_time,routine_manual,no
759,8,7,6,0,8,6,8,8,5,9,9,good_to_bad,male,25to44,married,no_degree,full_time,managerial_professional,yes
227,8,8,9,0,10,10,9,8,10,9,10,very_good,male,25to44,married,no_degree,full_time,routine_manual,yes
272,8,10,10,0,7,8,8,7,7,8,10,very_good,male,45to54,married,no_degree,full_time,intermediate,no
385,7,8,8,2,9,7,9,6,7,7,8,good_to_bad,male,25to44,married,no_degree,full_time,intermediate,yes
564,5,8,10,2,6,8,6,5,6,9,5,very_good,female,25to44,married,no_degree,full_time,intermediate,no
655,8,8,8,0,8,5,8,6,8,6,9,good_to_bad,female,45to54,married,no_degree,full_time,managerial_professional,yes
878,4,5,4,9,9,8,6,7,6,8,9,very_good,female,45to54,widowed_divorced_sep,degree,part_time,managerial_professional,yes
123,5,7,5,5,7,8,5,5,7,5,8,very_good,male,45to54,married,no_degree,full_time,managerial_professional,yes
278,7,9,6,0,9,8,8,6,6,10,10,very_good,male,25to44,single,no_degree,full_time,intermediate,no
3,9,9,8,7,7,7,9,7,9,6,8,very_good,female,45to54,widowed_divorced_sep,no_degree,part_time,managerial_professional,no
21,7,10,10,7,10,7,9,6,5,6,10,good_to_bad,male,55to64,widowed_divorced_sep,no_degree,full_time,intermediate,no
890,7,8,7,1,8,9,10,8,9,8,7,very_good,male,45to54,widowed_divorced_sep,no_degree,full_time,routine_manual,no
165,8,8,8,0,10,7,8,10,8,10,7,good_to_bad,female,45to54,married,degree,part_time,managerial_professional,no
72,9,9,8,0,8,10,9,9,8,8,8,very_good,female,25to44,married,degree,part_time,intermediate,yes
420,7,7,7,3,8,7,5,4,6,8,8,very_good,male,16to24,married,no_degree,full_time,routine_manual,no
742,6,9,9,0,6,7,10,7,8,4,8,very_good,male,45to54,married,degree,full_time,managerial_professional,no
