ppt,life_sat,worthwhile,happy,anxious,relationship,physical_health,mental_wellbeing,financial,work,balance,local,health,gender,age_group,marital,education,employment,occupation,children
345,7,7,8,3,9,8,10,8,7,5,8,very_good,male,55to64,widowed_divorced_sep,no_degree,full_time,routine_manual,no
280,2,2,5,2,6,10,6,4,3,5,8,very_good,male,25to44,single,no_degree,full_time,routine_manual,no
472,8,8,8,0,10,8,10,10,8,6,5,good_to_bad,female,55to64,married,degree,full_time,managerial_professional,no
390,4,4,8,5,9,9,10,0,1,3,10,very_good,male,16to24,single,degree,part_time,routine_manual,no
139,7,8,7,0,8,6,6,8,2,0,8,good_to_bad,male,25to44,married,no_degree,full_time,intermediate,yes
395,9,10,8,7,10,9,10,8,8,5,7,good_to_bad,male,45to54,married,no_degree,full_time,intermediate,no
939,7,8,8,3,10,8,10,7,8,7,8,good_to_bad,male,25to44,married,no_degree,full_time,routine_manual,yes
953,8,6,6,3,9,5,7,9,6,8,8,good_to_bad,male,55to64,married,no_degree,part_time,managerial_professional,no
607,8,9,10,2,10,9,10,7,4,6,7,good_to_bad,male,25to44,married,no_degree,full_time,intermediate,yes
515,9,9,5,3,10,6,9,7,9,7,7,good_to_bad,female,25to44,married,no_degree,full_time,intermediate,yes
672,7,8,8,0,10,9,7,6,7,4,8,very_good,female,25to44,married,degree,full_time,managerial_professional,yes
382,8,8,6,8,9,7,7,7,8,7,8,good_to_bad,female,25to44,married,degree,part_time,managerial_professional,yes
745,9,9,10,1,10,9,9,9,10,7,8,very_good,male,55to64,widowed_divorced_sep,no_degree,full_time,routine_manual,no
792,8,8,8,0,10,8,8,5,8,8,8,good_to_bad,male,55to64,married,no_degree,full_time,managerial_professional,no
379,8,10,5,0,10,8,5,5,8,5,10,good_to_bad,female,55to64,married,no_degree,full_time,routine_manual,no
136,8,8,9,4,10,9,10,8,9,7,9,very_good,male,25to44,married,degree,full_time,managerial_professional,yes
615,8,8,8,0,6,9,6,6,8,8,8,very_good,female,25to44,married,degree,full_time,intermediate,yes
38,9,8,10,0,9,9,9,9,8,7,9,very_good,female,25to44,married,no_degree,part_time,intermediate,yes
683,9,9,9,0,9,9,9,5,5,9,8,very_good,female,25to44,married,no_degree,part_time,routine_manual,yes
228,9,9,9,0,10,6,8,5,7,6,9,good_to_bad,male,25to44,married,degree,full_time,routine_manual,yes
453,8,10,10,0,10,7,10,7,5,7,7,very_good,female,25to44,single,no_degree,part_time,intermediate,yes
845,6,6,7,5,5,7,7,4,4,7,9,very_good,female,16to24,single,no_degree,part_time,routine_manual,no
734,10,10,10,0,10,9,9,10,5,10,10,very_good,male,55to64,married,no_degree,full_time,intermediate,no
906,7,8,8,3,9,4,9,6,5,8,9,good_to_bad,female,55to64,widowed_divorced_sep,no_degree,full_time,managerial_professional,no
929,10,10,10,5,10,9,4,9,10,10,9,very_good,female,45to54,married,degree,part_time,intermediate,no
766,8,8,9,2,9,8,9,8,7,8,8,very_good,male,55to64,widowed_divorced_sep,no_degree,full_time,managerial_professional,no
89,7,7,5,0,10,4,5,5,9,8,3,good_to_bad,female,25to44,single,no_degree,part_time,routine_manual,yes
617,10,8,8,0,10,8,8,8,10,10,10,good_to_bad,female,55to64,married,no_degree,part_time,managerial_professional,no
284,10,10,10,0,10,6,10,10,8,8,10,good_to_bad,female,55to64,widowed_divorced_sep,degree,full_time,intermediate,no
760,10,10,10,0,10,9,10,10,8,10,10,good_to_bad,female,55to64,married,no_degree,full_time,routine_manual,no
934,8,9,9,2,10,9,9,7,8,5,5,very_good,female,25to44,single,degree,full_time,managerial_professional,no
290,10,9,9,1,10,8,10,10,10,9,9,good_to_bad,female,55to64,married,degree,part_time,intermediate,no
380,7,7,7,3,9,6,7,6,6,6,8,good_to_bad,male,25to44,single,degree,full_time,managerial_professional,no
736,5,6,8,0,10,8,10,7,8,7,10,good_to_bad,male,55to64,married,no_degree,full_time,routine_manual,no
600,7,7,7,6,10,7,10,7,7,3,5,very_good,male,25to44,married,degree,full_time,managerial_professional,yes
185,7,7,8,0,10,10,8,5,8,8,8,very_good,male,25to44,single,no_degree,full_time,managerial_professional,no
407,9,9,9,0,10,9,9,7,7,7,10,very_good,female,25to44,married,degree,full_time,intermediate,yes
213,8,8,10,0,6,8,10,8,10,9,4,very_good,female,25to44,married,no_degree,full_time,managerial_professional,no
196,10,9,7,7,10,9,10,9,7,8,10,very_good,female,45to54,married,no_degree,full_time,intermediate,no
816,8,7,9,2,9,8,8,7,5,3,8,very_good,male,45to54,married,no_degree,full_time,intermediate,no
593,8,7,9,0,7,9,10,7,8,4,4,very_good,female,45to54,widowed_divorced_sep,degree,full_time,intermediate,no
428,9,8,9,3,9,9,9,9,9,8,10,very_good,male,55to64,married,degree,full_time,managerial_professional,no
909,7,10,4,9,5,8,8,8,2,8,4,good_to_bad,female,25to44,married,degree,part_time,intermediate,yes
622,8,6,8,1,9,8,8,8,9,10,9,good_to_bad,female,25to44,single,no_degree,part_time,intermediate,yes
924,10,10,7,0,10,10,10,10,2,8,10,very_good,female,25to44,married,no_degree,part_time,routine_manual,no
811,8,7,9,0,10,8,10,9,9,6,10,very_good,female,25to44,single,degree,full_time,managerial_professional,no
117,8,8,10,2,9,7,8,9,7,6,10,very_good,male,25to44,married,degree,full_time,managerial_professional,yes
340,9,8,9,0,9,5,9,9,8,8,8,good_to_bad,male,25to44,single,no_degree,full_time,managerial_professional,no
945,8,8,10,2,9,9,6,4,9,8,5,very_good,female,25to44,married,degree,full_time,routine_manual,no
597,7,7,8,6,7,5,5,2,6,4,6,good_to_bad,female,25to44,married,degree,full_time,managerial_professional,yes
115,8,10,10,7,8,10,10,7,8,5,8,very_good,male,25to44,married,no_degree,full_time,routine_manual,no
392,8,8,7,1,10,9,10,8,10,8,7,very_good,female,25to44,married,degree,full_time,managerial_professional,no
697,9,9,9,0,9,6,8,8,10,10,10,very_good,female,25to44,married,degree,full_time,managerial_professional,yes
724,10,8,10,2,10,10,10,8,8,4,7,very_good,male,25to44,married,degree,full_time,managerial_professional,yes
433,9,10,10,0,10,9,8,8,8,7,8,good_to_bad,male,55to64,married,degree,full_time,managerial_professional,no
861,7,7,8,0,9,6,8,7,7,5,7,very_good,male,45to54,married,no_degree,full_time,managerial_professional,no
220,10,10,6,4,10,8,10,10,8,7,9,very_good,female,25to44,married,degree,full_time,managerial_professional,no
226,9,9,7,7,10,10,9,10,10,7,10,good_to_bad,male,55to64,single,no_degree,full_time,routine_manual,no
299,7,10,8,5,10,10,10,6,7,8,9,very_good,female,25to44,married,degree,part_time,routine_manual,yes
146,10,10,10,1,10,4,10,8,10,8,6,good_to_bad,female,25to44,married,degree,full_time,managerial_professional,yes
832,7,8,10,0,8,8,10,8,9,10,9,good_to_bad,female,55to64,widowed_divorced_sep,degree,full_time,routine_manual,no
813,10,10,8,2,10,10,10,9,10,10,10,very_good,female,45to54,married,no_degree,part_time,managerial_professional,no
384,10,10,10,8,10,3,10,2,2,10,10,good_to_bad,male,45to54,married,no_degree,part_time,intermediate,no
315,9,9,8,0,9,8,9,9,8,7,6,very_good,male,25to44,married,no_degree,full_time,managerial_professional,yes
194,8,8,9,0,8,7,7,6,6,8,9,very_good,female,25to44,married,degree,part_time,managerial_professional,yes
499,7,8,8,0,8,7,8,7,8,8,7,good_to_bad,male,45to54,married,no_degree,full_time,managerial_professional,no
81,8,9,8,0,8,8,8,7,8,8,9,good_to_bad,male,45to54,married,no_degree,full_time,intermediate,no
552,8,9,8,2,10,7,7,7,9,1,5,good_to_bad,male,45to54,widowed_divorced_sep,no_degree,full_time,managerial_professional,no
860,10,10,8,0,10,10,10,9,10,10,5,good_to_bad,female,25to44,married,degree,full_time,intermediate,no
587,9,10,10,0,10,4,8,8,10,10,10,good_to_bad,female,25to44,widowed_divorced_sep,no_degree,full_time,intermediate,yes
726,8,10,10,0,10,10,10,7,10,10,10,very_good,male,25to44,married,no_degree,full_time,routine_manual,yes
109,8,8,9,3,10,7,8,9,9,8,8,very_good,male,25to44,married,degree,full_time,managerial_professional,yes
168,8,8,10,0,10,10,10,7,9,10,6,very_good,female,25to44,single,no_degree,part_time,routine_manual,yes
918,8,9,9,2,8,8,8,7,8,6,8,good_to_bad,male,25to44,married,degree,full_time,managerial_professional,yes
267,9,8,9,2,9,8,9,10,10,9,7,very_good,male,45to54,married,degree,full_time,managerial_professional,no
306,9,8,10,5,9,4,9,9,9,7,7,good_to_bad,female,25to44,married,no_degree,part_time,managerial_professional,yes
359,7,7,7,0,7,7,7,4,0,7,7,very_good,female,55to64,widowed_divorced_sep,no_degree,full_time,routine_manual,no
333,7,9,9,1,9,9,10,4,9,6,8,very_good,male,25to44,married,no_degree,full_time,routine_manual,yes
202,10,10,8,0,10,10,10,8,8,9,9,very_good,female,25to44,married,degree,part_time,managerial_professional,yes
583,5,9,8,0,5,10,5,3,5,10,8,very_good,female,25to44,married,no_degree,part_time,routine_manual,yes
409,8,8,5,8,10,7,9,8,4,7,10,good_to_bad,female,45to54,married,no_degree,full_time,routine_manual,no
178,8,9,8,3,8,8,8,7,6,8,10,very_good,male,25to44,married,no_degree,full_time,managerial_professional,no
527,8,10,8,10,10,8,10,6,10,10,10,good_to_bad,female,25to44,single,no_degree,part_time,routine_manual,yes
505,9,9,10,0,10,9,9,9,7,10,9,very_good,male,45to54,married,no_degree,full_time,managerial_professional,no
940,6,7,2,8,9,8,9,3,10,10,7,good_to_bad,female,45to54,widowed_divorced_sep,no_degree,part_time,routine_manual,yes
332,7,7,8,3,9,4,6,5,3,5,9,good_to_bad,female,45to54,married,no_degree,full_time,managerial_professional,yes
574,8,7,8,2,8,8,8,8,8,8,7,good_to_bad,female,25to44,single,no_degree,full_time,routine_manual,no
175,9,9,9,0,9,8,10,9,8,6,4,very_good,female,25to44,married,degree,full_time,managerial_professional,no
16,7,9,9,0,7,6,8,6,9,9,8,very_good,female,25to44,single,degree,full_time,routine_manual,yes
497,8,7,9,1,10,6,10,8,10,7,10,good_to_bad,female,25to44,widowed_divorced_sep,no_degree,full_time,managerial_professional,no
731,10,7,9,0,10,10,8,7,3,8,10,very_good,male,55to64,married,no_degree,part_time,managerial_professional,no
398,10,10,8,0,10,10,10,7,7,8,10,very_good,female,25to44,married,no_degree,part_time,intermediate,yes
121,8,8,8,1,10,7,9,7,7,8,10,very_good,female,25to44,married,degree,part_time,managerial_professional,yes
576,6,6,2,9,10,4,10,6,3,2,8,good_to_bad,female,45to54,married,no_degree,full_time,routine_manual,no
571,9,9,8,7,10,10,10,10,10,8,8,very_good,female,55to64,widowed_divorced_sep,degree,full_time,managerial_professional,no
79,8,8,5,5,8,6,8,9,5,5,7,good_to_bad,female,25to44,married,degree,full_time,managerial_professional,no
329,8,7,9,0,8,9,9,8,5,8,9,very_good,female,16to24,married,no_degree,part_time,routine_manual,yes
188,5,7,3,10,4,6,2,4,5,3,5,very_good,male,45to54,widowed_divorced_sep,no_degree,full_time,routine_manual,yes
432,8,8,8,1,10,7,10,2,1,9,7,good_to_bad,female,25to44,single,no_degree,part_time,routine_manual,yes
368,8,9,10,0,9,9,9,5,8,6,9,very_good,female,45to54,married,degree,part_time,managerial_professional,yes
346,5,7,5,0,10,8,5,7,7,9,9,good_to_bad,female,45to54,single,no_degree,full_time,routine_manual,no
323,10,8,10,0,10,8,9,10,8,3,10,good_to_bad,male,55to64,married,no_degree,full_time,routine_manual,no
154,4,6,10,5,10,10,10,3,10,3,10,good_to_bad,female,25to44,married,no_degree,part_time,routine_manual,no
217,7,7,7,0,6,7,7,7,7,8,3,very_good,male,45to54,married,degree,full_time,managerial_professional,yes
834,8,9,9,0,6,5,9,5,5,8,7,good_to_bad,female,25to44,single,no_degree,part_time,routine_manual,yes
914,8,8,9,4,9,7,9,7,5,8,8,good_to_bad,female,45to54,widowed_divorced_sep,no_degree,full_time,intermediate,yes
225,10,10,9,0,10,8,10,7,10,10,7,good_to_bad,female,25to44,single,no_degree,part_time,routine_manual,yes
807,7,9,9,0,10,10,10,6,8,8,6,very_good,male,25to44,married,no_degree,full_time,routine_manual,yes
696,8,8,6,4,10,7,9,9,7,7,10,good_to_bad,male,45to54,married,degree,full_time,managerial_professional,no
927,7,7,7,7,9,7,9,8,7,8,9,very_good,male,55to64,widowed_divorced_sep,degree,part_time,intermediate,no
883,10,9,10,0,10,10,10,10,10,10,10,very_good,male,55to64,married,degree,part_time,managerial_professional,no
614,9,9,6,0,9,8,10,9,9,7,9,very_good,male,55to64,married,no_degree,full_time,routine_manual,no
31,8,10,8,5,8,5,5,7,9,7,9,good_to_bad,female,45to54,married,no_degree,part_time,routine_manual,no
907,10,8,10,0,9,9,10,5,5,5,3,good_to_bad,male,55to64,widowed_divorced_sep,no_degree,full_time,intermediate,no
913,9,5,3,7,10,5,10,8,10,5,7,good_to_bad,female,16to24,single,no_degree,full_time,routine_manual,no
794,6,7,7,8,8,5,10,6,6,8,6,good_to_bad,male,25to44,single,no_degree,full_time,managerial_professional,no
490,9,10,10,0,10,10,10,8,10,10,10,good_to_bad,male,16to24,single,no_degree,full_time,routine_manual,no
567,6,8,6,3,9,9,9,8,8,8,8,very_good,female,55to64,widowed_divorced_sep,no_degree,full_time,intermediate,no
713,7,8,6,9,7,6,8,5,6,6,8,good_to_bad,female,25to44,single,degree,full_time,managerial_professional,no
261,0,0,4,0,4,0,0,0,0,5,7,good_to_bad,male,16to24,single,no_degree,part_time,routine_manual,no
879,6,7,8,5,8,8,8,2,9,7,8,good_to_bad,female,25to44,married,degree,part_time,routine_manual,yes
330,9,9,9,8,8,8,9,9,9,10,8,very_good,male,55to64,married,no_degree,full_time,routine_manual,no
153,10,9,10,1,10,8,8,10,10,5,8,very_good,female,16to24,married,no_degree,full_time,managerial_professional,yes
271,8,9,7,0,10,10,10,10,8,7,9,very_good,male,45to54,single,degree,full_time,intermediate,no
928,7,7,6,5,9,4,6,3,4,7,9,good_to_bad,male,45to54,widowed_divorced_sep,degree,full_time,managerial_professional,no
716,8,7,9,0,10,10,10,5,6,7,8,very_good,female,25to44,married,degree,full_time,intermediate,no
223,8,8,8,5,10,9,7,9,9,7,7,very_good,male,45to54,married,no_degree,full_time,managerial_professional,no
847,8,8,9,0,9,8,9,7,7,9,8,very_good,male,55to64,married,degree,full_time,intermediate,no
627,8,7,7,7,6,5,6,8,5,4,6,good_to_bad,female,25to44,married,no_degree,part_time,routine_manual,yes
151,5,5,5,5,10,5,2,5,3,5,6,good_to_bad,female,25to44,single,no_degree,part_time,routine_manual,yes
555,10,8,10,3,8,9,10,9,10,6,10,very_good,female,45to54,widowed_divorced_sep,no_degree,full_time,routine_manual,yes
586,8,8,10,10,9,9,8,8,9,10,8,very_good,female,55to64,married,no_degree,part_time,intermediate,no
23,8,8,3,7,10,9,10,9,7,6,10,very_good,female,25to44,married,no_degree,full_time,managerial_professional,no
208,8,9,8,2,8,6,8,8,10,10,10,very_good,male,25to44,single,no_degree,full_time,managerial_professional,no
538,7,7,7,2,8,7,8,7,8,8,6,good_to_bad,female,45to54,married,no_degree,part_time,managerial_professional,no
222,8,8,7,1,9,9,8,7,7,8,7,very_good,male,45to54,married,no_degree,full_time,routine_manual,yes
819,7,5,4,5,9,8,9,4,2,3,10,good_to_bad,male,16to24,single,no_degree,full_time,routine_manual,no
14,9,9,9,0,9,9,8,9,9,9,9,good_to_bad,male,55to64,married,degree,part_time,managerial_professional,no
148,9,9,10,0,10,9,9,9,7,8,9,good_to_bad,female,45to54,married,no_degree,part_time,managerial_professional,no
135,8,9,9,0,10,10,10,7,7,7,10,very_good,male,45to54,married,no_degree,full_time,routine_manual,no
17,8,7,7,6,10,10,10,8,8,10,8,very_good,male,25to44,single,degree,full_time,managerial_professional,no
244,7,6,8,0,4,6,8,5,7,7,7,good_to_bad,male,25to44,single,no_degree,full_time,routine_manual,no
322,8,10,10,0,10,10,10,10,10,8,10,good_to_bad,male,55to64,married,no_degree,full_time,managerial_professional,no
556,7,8,5,6,7,6,6,8,9,9,8,good_to_bad,female,45to54,married,no_degree,part_time,managerial_professional,no
458,8,8,9,2,7,8,9,8,8,9,9,very_good,male,45to54,married,no_degree,full_time,managerial_professional,yes
837,6,5,8,1,10,5,10,5,8,3,9,good_to_bad,male,25to44,single,no_degree,full_time,managerial_professional,no
642,6,4,6,2,10,10,10,10,10,7,0,good_to_bad,male,25to44,single,no_degree,full_time,intermediate,no
437,9,9,9,3,10,9,9,9,8,6,7,very_good,female,45to54,married,degree,full_time,managerial_professional,no
721,10,10,10,0,10,9,9,8,8,8,10,very_good,male,55to64,married,no_degree,full_time,routine_manual,no
532,9,9,9,2,9,7,10,8,6,4,6,very_good,female,25to44,married,degree,full_time,managerial_professional,no
954,8,7,9,5,10,8,10,10,6,8,9,very_good,male,45to54,married,no_degree,full_time,managerial_professional,no
155,8,9,8,1,9,9,8,7,7,8,10,very_good,female,25to44,married,no_degree,part_time,intermediate,yes
777,10,8,10,0,9,2,8,6,8,10,10,good_to_bad,male,25to44,married,no_degree,full_time,managerial_professional,yes
339,9,10,10,4,10,6,7,6,9,6,9,very_good,male,45to54,married,degree,full_time,managerial_professional,yes
297,8,10,10,1,5,3,8,9,10,5,9,good_to_bad,female,25to44,single,degree,full_time,intermediate,no
59,10,9,10,0,9,9,10,9,8,8,8,very_good,male,45to54,married,no_degree,full_time,managerial_professional,no
336,6,8,5,5,5,6,4,6,2,2,8,good_to_bad,female,25to44,married,degree,part_time,intermediate,no
349,8,9,5,0,10,8,7,10,8,6,6,good_to_bad,male,16to24,married,degree,full_time,intermediate,no
343,8,8,8,1,5,3,8,7,9,2,9,good_to_bad,male,25to44,married,no_degree,full_time,intermediate,yes
74,5,5,5,3,10,5,10,4,4,3,7,good_to_bad,male,16to24,single,no_degree,part_time,routine_manual,no
771,9,8,10,0,10,7,10,9,9,5,10,good_to_bad,female,45to54,widowed_divorced_sep,no_degree,part_time,routine_manual,no
694,4,6,7,2,2,8,10,2,4,4,6,very_good,female,25to44,married,no_degree,full_time,managerial_professional,no
692,7,9,8,2,9,5,6,5,10,8,9,very_good,female,25to44,married,no_degree,full_time,intermediate,yes
469,9,10,9,4,10,7,9,8,9,10,8,good_to_bad,female,25to44,married,no_degree,full_time,intermediate,yes
